name	elv_m	N14_atoms_g	delN14_atoms_g	extraction_lab	t_LSDn	dNnorm_ext_LSDn
10-MPS-046-NNS	499.3491648	209900	2854	Tulane	0	490
01-MBL-078-MCG	1061	216000	2940	Tulane	7101	247
10-BDM-063-HOP	754	217200	3175	Tulane	11354	322
11-ATH-201-WAR	865.9684072	221600	3186	Tulane	10095	303
10-MPS-012-NNS	725.6475813	225600	3426	Tulane	13354	346
10-MPS-046-NNS	499.3491648	230300	3895	Tulane	0	490
A2020-UTSTE-2	1334	230956	3989	ETH	5768	220
14-TUG-039-SKB	557.5	234900	3457	Tulane	38061	427
10-MPS-008-NNS	713.1567675	235600	3458	Tulane	0	308
10-MPS-006-COU	922.8170296	236400	3957	Tulane	0	300
10-MPS-046-NNS	499.3491648	237500	3487	Tulane	0	490
SB2019-ED2-19-2C1	19.1	241925.0012	4625.251428	Tulane	0	252
14-HAT-006-DH	593	249000	7090	Tulane	37811	471
B2016-007C-BR	65	251000	87000	Cologne	0	4551
10-MPS-039-NNS	550.5810185	252300	3674	Tulane	0	126
99-MBL-010-MGM	990	253000	3390	Tulane	10684	310
01-MBL-148-REA	616	253200	5749	Tulane	0	189
01-MBL-077-MCG	1137	255000	3650	Tulane	8364	274
10-MPS-006-COU	922.8170296	262400	3509	Tulane	0	300
10-MPS-015-CSP	945.0662918	263100	3801	Tulane	12345	334
10-BDM-059-HOP	825	269400	3779	Tulane	16497	371
10-MPS-013-NNS	719.2070054	275500	3917	Tulane	33388	422
F2014-UG-16	938	276000	14100	ETH	14562	489
01-MBL-132-BBD	791	280300	3996	Tulane	24085	406
10-LAR-023-SJO	39	280600	4249	Tulane	0	233
10-MPS-016-CSP	948.2865797	282800	4046	Tulane	16326	370
10-MPS-051-NVO	1034.356094	289600	4564	Tulane	12160	334
01-MBL-131-BBD	789	314400	4405	Tulane	0	126
10-MPS-006-COU	922.8170296	323900	4550	Tulane	0	300
14-HAT-036-DH	1287	324000	12500	Tulane	11088	386
01-MBL-014-ATW	1087	327000	4830	Tulane	17471	379
10-MPS-008-NNS	713.1567675	330509	10297	PRIME line 1	0	308
99-MBL-010-MGM	990	331400	5251	Tulane	10684	310
13-HAT-119-DAN	1485.1	344600	5352	Tulane	8943	286
CF_160_08	893	353200	5036	Tulane	0	129
FLO-18-CJF	1327	366000	3920	ETH	13636	341
01-MBL-056-DAR	1077	389400	5323	Tulane	0	117
A2020-KETEL-5	1401	394111	3842	ETH	13585	340
FM-Dun-11-2	1230	399000	40000	SUERC	24143	876
FLO-19-CJF	1336	400000	4340	ETH	17332	371
01-MBL-003-VVB	1132	400400	5467	Tulane	0	114
01-MBL-003-VVB	1132	401700	5882	Tulane	0	114
04-DW-043-BR	1896	432700	6818	Tulane	7596	260
04-DW-047-BR	1883	438500	7373	Tulane	0	218
JS2017-MK-21	1738.9	442000	8920	Tulane	9635	307
04-DW-046-ERR	1896	455000	7495	Tulane	7909	268
JS2017-MK-19	1753.5	464000	9500	Tulane	10628	323
10-MPS-046-NNS	499.3491648	469036	13153	PRIME line 1	0	490
JS2017-MK-20	1744.8	475000	9600	Tulane	11226	331
JS2017-MK-16	1764.8	477100	9797	Tulane	12240	345
JS2017-MK-15	1787.4	508700	9877	Tulane	14616	368
10-MPS-006-COU	922.8170296	516503	11984	PRIME line 1	0	300
A2020-KETEL-6	1394	531616	4332	ETH	0	74
A2020-DRY-3	1594	535187	6109	ETH	22224	395
15-ROB-036-ARM	2304	590500	8356	Tulane	7866	264
SB2019-ED2-19-2C2	19.1	601186.4644	10157.12965	Tulane	0	556
A2020-DRY-2	1607	603401	5141	ETH	0	75
A2020-KETEL-1	1395	673206	5066	ETH	0	86
A2020-KETEL-2	1401	690987	5151	ETH	0	87
13-NTK-037-WHT	2265.4	732700	9756	Tulane	12518	334
13-NTK-036-WHT	2245.7	769000	10200	Tulane	14682	355
L2010-GR07	1921	806000	12000	Tulane	0	138
